ID,Inches,Price,ram_gb,weight_kg,touchscreen,ips_panel,cpu_ghz,cpu_gen,ssd_gb,hdd_gb,flash_gb,gpu_tier,ppi,total_storage_gb,has_ssd,has_hdd,has_dedicated_gpu,cpu_tier_score,ram_log2,log_price,Company_Acer,Company_Apple,Company_Asus,Company_Chuwi,Company_Dell,Company_Fujitsu,Company_Google,Company_HP,Company_Huawei,Company_LG,Company_Lenovo,Company_MSI,Company_Mediacom,Company_Microsoft,Company_Razer,Company_Samsung,Company_Toshiba,Company_Vero,Company_Xiaomi,TypeName_2 in 1 Convertible,TypeName_Gaming,TypeName_Netbook,TypeName_Notebook,TypeName_Ultrabook,TypeName_Workstation,cpu_brand_AMD,cpu_brand_Intel,cpu_brand_Other,cpu_tier_Atom,cpu_tier_Celeron,cpu_tier_Other,cpu_tier_Pentium,cpu_tier_Ryzen,cpu_tier_Xeon,cpu_tier_i3,cpu_tier_i5,cpu_tier_i7,gpu_brand_AMD,gpu_brand_Intel,gpu_brand_Nvidia,os_Linux,os_NoOS,os_Win10,os_WinOther,os_macOS
0,13.3,71378.6832,8,1.37,0,1,2.3,0,128,0,0,0,226.98300468106115,128,1,0,0,5,3.0,11.175768558816314,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True
1,13.3,47895.5232,8,1.34,0,0,1.8,0,0,0,128,0,127.67794013309688,128,0,0,0,5,3.0,10.776798196213472,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True
2,15.6,30636.0,8,1.86,0,0,2.5,7,256,0,0,0,141.21199808219862,256,1,0,0,5,3.0,10.329963707833757,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False
3,15.4,135195.33599999998,16,1.83,0,1,2.7,0,512,0,0,1,220.53462386625827,512,1,0,1,6,4.0,11.814483341632057,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True
4,13.3,96095.808,8,1.37,0,1,3.1,0,256,0,0,0,226.98300468106115,256,1,0,0,5,3.0,11.473111379006117,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True
5,15.6,21312.0,4,2.1,0,0,2.5,0,0,500,0,1,100.45466986113651,500,0,1,1,3,2.0,9.967072494161238,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
6,15.4,114017.6016,16,2.04,0,1,2.2,0,0,0,256,0,220.53462386625827,256,0,0,0,6,4.0,11.644116885995366,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
7,13.3,61735.536,8,1.34,0,0,1.8,0,0,0,256,0,127.67794013309688,256,0,0,0,5,3.0,11.03063119023011,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True
8,14.0,79653.59999999999,16,1.3,0,0,1.8,8,512,0,0,2,157.3505121487356,512,1,0,1,6,4.0,11.285455066338496,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
9,14.0,41025.6,8,1.6,0,1,1.6,8,256,0,0,0,157.3505121487356,256,1,0,0,5,3.0,10.621975915807171,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
