ID,Company,TypeName,Inches,Price,ram_gb,weight_kg,touchscreen,ips_panel,res_w,res_h,cpu_brand,cpu_tier,cpu_ghz,cpu_gen,ssd_gb,hdd_gb,flash_gb,gpu_brand,gpu_tier,os
0,Apple,Ultrabook,13.3,71378.6832,8,1.37,0,1,2560,1600,Intel,i5,2.3,0,128,0,0,Intel,0,macOS
1,Apple,Ultrabook,13.3,47895.5232,8,1.34,0,0,1440,900,Intel,i5,1.8,0,0,0,128,Intel,0,macOS
2,HP,Notebook,15.6,30636.0,8,1.86,0,0,1920,1080,Intel,i5,2.5,7,256,0,0,Intel,0,NoOS
3,Apple,Ultrabook,15.4,135195.33599999998,16,1.83,0,1,2880,1800,Intel,i7,2.7,0,512,0,0,AMD,1,macOS
4,Apple,Ultrabook,13.3,96095.808,8,1.37,0,1,2560,1600,Intel,i5,3.1,0,256,0,0,Intel,0,macOS
5,Acer,Notebook,15.6,21312.0,4,2.1,0,0,1366,768,AMD,Other,,0,0,500,0,AMD,1,Win10
6,Apple,Ultrabook,15.4,114017.6016,16,2.04,0,1,2880,1800,Intel,i7,2.2,0,0,0,256,Intel,0,macOS
7,Apple,Ultrabook,13.3,61735.536,8,1.34,0,0,1440,900,Intel,i5,1.8,0,0,0,256,Intel,0,macOS
8,Asus,Ultrabook,14.0,79653.59999999999,16,1.3,0,0,1920,1080,Intel,i7,1.8,8,512,0,0,Nvidia,2,Win10
9,Acer,Ultrabook,14.0,41025.6,8,1.6,0,1,1920,1080,Intel,i5,1.6,8,256,0,0,Intel,0,Win10
10,HP,Notebook,15.6,20986.992,4,1.86,0,0,1366,768,Intel,i5,2.5,7,0,500,0,Intel,0,NoOS
11,HP,Notebook,15.6,18381.0672,4,1.86,0,0,1920,1080,Intel,i3,,6,0,500,0,Intel,0,NoOS
12,Apple,Ultrabook,15.4,130001.6016,16,1.83,0,1,2880,1800,Intel,i7,2.8,0,256,0,0,AMD,1,macOS
13,Dell,Notebook,15.6,26581.392,4,2.2,0,0,1920,1080,Intel,i3,,6,256,0,0,AMD,1,Win10
14,Apple,Ultrabook,12.0,67260.672,8,0.92,0,1,2304,1440,Intel,Other,1.2,0,256,0,0,Intel,0,macOS
